Date,ACEIX,PWTYX,OGIAX,PRWCX,MDCPX,SWOBX,PGMAX,OAKBX,VGSTX,GOIAX,MXGPX,MBAAX,FSATX
2024-01-30,9.37161922454834,45.01422882080078,14.278783798217773,31.136945724487305,23.080347061157227,15.047325134277344,13.034097671508789,33.06818389892578,25.3330078125,13.893194198608398,10.463865280151367,16.19439697265625,14.173508644104004
2024-01-31,9.288766860961914,44.50532913208008,14.203484535217285,30.90098762512207,22.931501388549805,14.894754409790039,12.965496063232422,32.78571701049805,25.135902404785156,13.809219360351562,10.463865280151367,16.106491088867188,14.09563159942627
2024-02-01,9.3532075881958,44.97721862792969,14.316435813903809,31.18231964111328,23.1175594329834,15.047325134277344,13.05369758605957,33.126625061035156,25.370553970336914,13.930517196655273,10.473519325256348,16.233469009399414,14.231915473937988
2024-02-02,9.3532075881958,45.1715202331543,14.316435813903809,31.263996124267578,23.1175594329834,15.047325134277344,13.063497543334961,32.86363983154297,25.34239387512207,13.930517196655273,10.473519325256348,16.184629440307617,14.212447166442871
2024-02-05,9.288766860961914,44.903194427490234,14.241132736206055,31.09156608581543,23.03383445739746,15.00918197631836,13.004697799682617,32.57143020629883,25.210988998413086,13.85587215423584,10.386641502380371,16.086956024169922,14.134571075439453
2024-02-06,9.344001770019531,45.060489654541016,14.297609329223633,31.22769546508789,23.126863479614258,15.066396713256836,13.05369758605957,32.688316345214844,25.3330078125,13.921185493469238,10.425253868103027,16.15532875061035,14.202712059020996
2024-02-07,9.37161922454834,45.29180908203125,14.335258483886719,31.37289810180664,23.20128631591797,15.133146286010742,13.10269832611084,32.73701477050781,25.408096313476562,13.967838287353516,10.444559097290039,16.19439697265625,14.241650581359863
2024-02-08,9.380825996398926,45.31956481933594,14.335258483886719,31.391048431396484,23.182680130004883,15.114075660705566,13.092897415161133,32.7662353515625,25.436254501342773,13.958508491516113,10.473519325256348,16.14556121826172,14.241650581359863
2024-02-09,9.399238586425781,45.50461959838867,14.372908592224121,31.5090274810791,23.257102966308594,15.190361022949219,13.11249828338623,32.85389709472656,25.53011703491211,14.00516128540039,10.49282455444336,16.184629440307617,14.280588150024414
2024-02-12,9.436060905456543,45.51387023925781,14.391733169555664,31.5090274810791,23.257102966308594,15.190361022949219,13.122299194335938,33.07792282104492,25.558273315429688,14.01449203491211,10.521782875061035,16.19439697265625,14.290323257446289
2024-02-13,9.316383361816406,44.88468933105469,14.222307205200195,31.15509605407715,22.95941162109375,14.971039772033691,12.99489688873291,32.60065460205078,25.173444747924805,13.846542358398438,10.386641502380371,16.018583297729492,14.115100860595703
2024-02-14,9.37161922454834,45.31956481933594,14.316435813903809,31.427350997924805,23.126863479614258,15.114075660705566,13.063497543334961,32.873374938964844,25.417482376098633,13.958508491516113,10.473519325256348,16.126026153564453,14.231915473937988
2024-02-15,9.463678359985352,45.60639953613281,14.40114688873291,31.572553634643555,23.257102966308594,15.199895858764648,13.141898155212402,33.06818389892578,25.5958194732666,14.042482376098633,10.550743103027344,16.22370147705078,14.319526672363281
